Applicant ID,Loan Type,Gender,Marital Status,Accomodation Type,No of years in the current address,No. of Years in the current job,Monthly Salary,Balance in Savings Account,Loan Amount Requested,Term,Down Payment ,EMI Affordable 
1,Home Loan,Male,Married,Family Other,32,7,8000,1406,500000,120,700000,8690
2,Home Loan,Male,Married,Family Other,3,17,30000,42235,1000000,180,300000,16000
3,Home Loan,Male,Married,Company Provided,7,8,8000,15217,700000,120,955000,15000
4,Home Improvement,Male,Married,Owned,15,7,20462,29551,250000,84,250000,5856
5,Home Loan,Male,Married,Family Other,4,10,13534,2056,400000,180,700000,6157
6,Home Loan,Male,Married,Family Other,25,4,16921,28000,600000,180,700000,10000
7,Home Loan,Male,Married,Family Other,20,3,22046,1571,680000,180,536000,10951
8,Home Loan,Male,Married,Rented,4,13,30000,66973,1000000,180,800000,16000
9,Home Loan,Female,Married,Family Other,40,25,12000,814,600000,120,200000,9000
10,Home Loan,Male,Married,Family Other,10,10,13300,1200,400000,180,600000,8000
11,Home Loan,Male,Married,Family Other,10,8,20000,11533,500000,180,500000,8000
12,Home Loan,Female,Married,Rented,5,7,6617,10751,700000,120,148000,12000
13,Home Loan,Male,Married,Rented,2,1,8224,39357,600000,180,900000,9235
14,Home Loan,Male,Married,Family Other,28,13,30000,110000,1000000,180,500000,16000
15,Home Loan,Male,Married,Rented,4,10,28506,137734,700000,180,825000,13000
16,Home Improvement,Male,Single,Owned,20,10,10391,3000,300000,84,700000,4000
17,Home Loan,Male,Married,Rented,8,15,18980,48,370000,180,180000,7541
18,Home Loan,Male,Married,Company Provided,5,15,13000,26522,425000,168,375000,6354
19,Home Loan,Male,Single,Rented,5,10,10000,27785,800000,180,200000,17000
20,Home Loan,Male,Married,Family Other,25,1,25000,30143,690000,120,310000,11559
21,Home Loan,Male,Married,Owned,5,0,20000,45000,800000,120,568050,13904
22,Home Loan,Male,Married,Owned,15,22,11722,76000,400000,180,14600000,7000
23,Home Loan,Male,Married,Family Other,20,30,3900,4438,900000,180,300000,15000
24,Home Loan,Female,Married,Rented,2,8,46978,305610,1000000,180,250000,15391
25,Home Loan,Male,Married,Family Other,15,8,10325,9761,400000,120,383300,8000
26,Home Loan,Male,Married,Family Other,10,8,22796,150,500000,180,400000,15000
27,Home Loan,Male,Married,Company Provided,7,8,12964,73299,400000,180,300000,6157
28,Home Loan,Male,Married,Family Other,10,9,14840,12224,700000,180,500000,14000
